"","X","LRR","var.LRR","col","scale","Study","Sys1","pr.st"
"959",0.714285714,-0.776126287,0.025163093,"darkgreen",1.01072394259064,65,"T",0.0769147053341327
"960",0.428571429,-0.529092527,0.024537257,"darkgreen",1.01100834474872,65,"T",-1.25543600717728
"961",0.857142857,-0.793830472,0.038265899,"darkgreen",1.00690581226902,65,"T",0.743090063921455
"962",0.857142857,-1.014078078,0.076896914,"darkgreen",1.00322216813674,65,"T",0.743090063921455
"963",0.714285714,-0.29817638,0.165973677,"darkgreen",1.00126387058754,65,"T",0.0769147053341327
"964",0.428571429,-0.519888706,0.070010605,"darkgreen",1.00358107035696,65,"T",-1.25543600717728
"965",0.928571429,-1.205623168,0.061968215,"darkgreen",1.00410120369749,65,"T",1.07617774554673
"966",0.428571429,-0.028057601,0.23183873,"darkgreen",1.00078359310947,65,"T",-1.25543600717728
"967",0.928571429,-1.323743858,0.147421127,"darkgreen",1.00147661935304,65,"T",1.07617774554673
"968",0.857142857,-0.4197172,0.186948734,"darkgreen",1.00107419834187,65,"T",0.743090063921455
"969",0.714285714,-0.222660674,0.152235515,"darkgreen",1.00141642887942,65,"T",0.0769147053341327
"978",0.833333333,0.057135051,0.090289007,"darkgreen",1.00268095659562,65,"T",0.63206083671303
"979",0.666666667,0.203913027,0.091151466,"darkgreen",1.00265155287386,65,"T",-0.14514374441949
"980",0.333333333,0.387096001,0.065784501,"darkgreen",1.00383853354669,65,"T",-1.69955291601098
"981",0.916666667,-0.555779077,0.347007723,"darkgreen",1.0003819199426,65,"T",1.02066313194252
"982",0.916666667,-0.660142415,0.019908533,"darkgreen",1.01366697777292,65,"T",1.02066313194252
"983",0.666666667,-0.200236584,0.026787377,"darkgreen",1.01004781270258,65,"T",-0.14514374441949
"984",0.333333333,0.134818332,0.003144711,"darkgreen",1.08879732951751,65,"T",-1.69955291601098
"985",0.833333333,-0.481762983,0.012653086,"darkgreen",1.02174845652237,65,"T",0.63206083671303
"986",0.333333333,-0.01761147,0.002430031,"darkgreen",1.11503839442381,65,"T",-1.69955291601098
"987",0.666666667,-0.197378889,0.006337661,"darkgreen",1.04384577105306,65,"T",-0.14514374441949
"988",0.833333333,-0.461048667,0.004064809,"darkgreen",1.06860085416541,65,"T",0.63206083671303
"989",0.916666667,-0.562167805,0.008447165,"darkgreen",1.03278965086608,65,"T",1.02066313194252
"990",0.272727273,0.1623369,0.030666886,"darkgreen",1.00872274131738,65,"T",-1.98217276199982
"991",0.818181818,0.084903794,0.01610755,"darkgreen",1.01699272747009,65,"T",0.561405875215822
"992",0.909090909,-0.054558748,0.018719508,"darkgreen",1.01456217695569,65,"T",0.9853356488623
"993",0.636363636,-0.012062541,0.019723403,"darkgreen",1.0137992650489,65,"T",-0.286453672077134
"994",0.909090909,-0.319129209,0.038376863,"darkgreen",1.00688461093973,65,"T",0.9853356488623
"995",0.818181818,0.156637993,0.02646923,"darkgreen",1.01017371066903,65,"T",0.561405875215822
"996",0.272727273,0.28678061,0.032673117,"darkgreen",1.00816093958954,65,"T",-1.98217276199982
"997",0.636363636,-0.041106336,0.020781672,"darkgreen",1.01307483556032,65,"T",-0.286453672077134
"998",0.909090909,-0.599388934,0.027031996,"darkgreen",1.00995302668813,65,"T",0.9853356488623
"999",0.272727273,0.191177529,0.013866595,"darkgreen",1.01980784283177,65,"T",-1.98217276199982
"1000",0.818181818,0.062622823,0.031580923,"darkgreen",1.00845793297719,65,"T",0.561405875215822
"1001",0.636363636,-0.140125379,0.019445745,"darkgreen",1.01400239133899,65,"T",-0.286453672077134
"1010",0.833333333,-0.305291191,0.261924945,"darkgreen",1.00064457637433,65,"T",0.63206083671303
"1011",0.666666667,-0.116943378,0.197566893,"darkgreen",1.0009935352423,65,"T",-0.14514374441949
"1012",0.333333333,-0.054645344,0.120395587,"darkgreen",1.00190385400046,65,"T",-1.69955291601098
"1013",0.916666667,-0.621975243,0.561382888,"darkgreen",1.00007314749444,65,"T",1.02066313194252
