"","X","LRR","var.LRR","scale","col","ref","pr.st"
"786",2.8,0.1694,0.0937,1.64029679536343,"darkgreen","Jonasson et al. 1999",-0.0343232457564584
"788",3.9,0.1564,0.1619,1.60270736162399,"darkgreen","Jonasson et al. 1999",0.720251097296264
"790",4.9,0.3302,0.1862,1.59309539173992,"darkgreen","Jonasson et al. 1999",1.40622777279874
"792",2.6,-0.3036,0.0526,1.67998271987548,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"793",2.6,-0.2491,0.0564,1.67518829695008,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"794",2.6,-0.4813,0.1816,1.59481477208261,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"795",2.6,0.1633,0.0355,1.70700788826783,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"796",2.6,0.1729,0.0918,1.64170487779491,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"797",2.6,0.4104,0.1136,1.62705958770145,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"798",2.6,0.4175,0.0484,1.68570253040195,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"799",2.6,-0.0074,0.0923,1.64133152407011,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"800",2.6,-0.6837,0.0173,1.75641586890678,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"801",2.6,0.6105,0.1123,1.62785069450682,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"802",2.6,0.3368,0.0539,1.678304617235,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"803",2.6,0.837,0.0738,1.65670637334368,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"804",2.6,1.3345,0.0544,1.67766994742803,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"805",2.6,0.156,0.0444,1.6916315706207,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"806",2.6,0.2089,0.0621,1.66857078105074,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"807",2.6,0.7252,0.0559,1.67580036022635,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"808",2.6,0.0633,0.0413,1.69660634746012,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"809",2.6,-0.1284,0.072,1.65840360159345,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"810",2.6,-0.3723,0.0377,1.70287507655944,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"811",2.6,-0.1368,0.041,1.69710744993525,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"812",2.6,0.9548,0.0377,1.70287507655944,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"813",2.6,-0.7323,0.0875,1.6450023007135,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"814",2.6,-0.0858,0.1205,1.62300658686081,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"815",2.6,0.3857,0.048,1.68627294240371,"darkgreen","Jónsdóttir et al. 2005",-0.171518580856953
"870",1.5,-2.2438,0.6021,1.51242872408924,"darkgreen","Klein et al. 2007",-0.926092923909675
"871",1.5,-2.4849,0.4601,1.53091684162821,"darkgreen","Klein et al. 2007",-0.926092923909675
"872",1.5,0.307,0.0436,1.69288131871768,"darkgreen","Klein et al. 2007",-0.926092923909675
"873",1.5,2.0541,1.1929,1.46543380666594,"darkgreen","Klein et al. 2007",-0.926092923909675
"874",1.5,-1.1405,0.0879,1.64468880301274,"darkgreen","Klein et al. 2007",-0.926092923909675
"875",1.5,2.5389,1.277,1.46075119917892,"darkgreen","Klein et al. 2007",-0.926092923909675
"876",1.5,-0.0066,0.0031,1.87459096965815,"darkgreen","Klein et al. 2007",-0.926092923909675
"877",1.5,-0.0465,0.008,1.80942818880932,"darkgreen","Klein et al. 2007",-0.926092923909675
"878",1.5,-0.1841,0.0054,1.83644367700283,"darkgreen","Klein et al. 2007",-0.926092923909675
"879",1.5,-0.3677,0.0097,1.79618417461524,"darkgreen","Klein et al. 2007",-0.926092923909675
"880",1.5,0.178,0.0058,1.83153199858379,"darkgreen","Klein et al. 2007",-0.926092923909675
"881",1.5,-0.1275,0.0015,1.92448770639206,"darkgreen","Klein et al. 2007",-0.926092923909675
"882",1.5,-0.0478,5e-04,2,"darkgreen","Klein et al. 2007",-0.926092923909675
"883",4.2,-3.0445,1.2859,1.4602738201946,"darkgreen","Kostiainen et al. 2009",0.926044099947006
"884",4.2,-0.2126,0.0483,1.68584469022871,"darkgreen","Kostiainen et al. 2009",0.926044099947006
"885",4.2,-0.1617,0.0909,1.64238206801878,"darkgreen","Kostiainen et al. 2009",0.926044099947006
"886",4.2,-0.3198,0.0799,1.65124769694544,"darkgreen","Kostiainen et al. 2009",0.926044099947006
"887",4.2,0.3773,0.221,1.58131837317239,"darkgreen","Kostiainen et al. 2009",0.926044099947006
"888",4.2,0.2479,0.0581,1.67314712987546,"darkgreen","Kostiainen et al. 2009",0.926044099947006
"889",4.2,1.5195,1.0189,1.47627070333848,"darkgreen","Kostiainen et al. 2009",0.926044099947006
"890",4.2,0.4206,0.1347,1.6153495685019,"darkgreen","Kostiainen et al. 2009",0.926044099947006
